party_family,ministry_clean,n,p_total,m_total,expected,excess,excess_pct,pearson_resid
AAP,Agriculture,1,16,689,0.9781721384205856,0.02182786157941441,2.182786157941441,0.022070061674750292
AAP,Atomic Energy,0,16,68,0.09653948535936113,-0.09653948535936113,-9.653948535936113,-0.13652744949972734
AAP,"Ayurveda,Yoga & Naturopathy,Unani,Siddha And Homeopathy (Ayush)",0,16,157,0.22289263531499556,-0.22289263531499556,-22.289263531499557,-0.315217787815547
AAP,Ayush,0,16,53,0.07524401064773735,-0.07524401064773735,-7.524401064773735,-0.10641110034537572
AAP,Chemicals And Fertilizers,0,16,203,0.28819875776397513,-0.28819875776397513,-28.819875776397513,-0.40757459188889195
AAP,Civil Aviation,0,16,348,0.4940550133096717,-0.4940550133096717,-49.40550133096717,-0.6986993003809577
AAP,Coal,0,16,137,0.19449866903283053,-0.19449866903283053,-19.449866903283052,-0.27506265560974485
AAP,Commerce,0,16,280,0.39751552795031053,-0.39751552795031053,-39.75155279503105,-0.5621718508812302
AAP,Communications,1,16,186,0.26406388642413486,0.7359361135758651,73.59361135758651,1.0407708328591347
AAP,Communications And Information Technology,0,16,50,0.0709849157054126,-0.0709849157054126,-7.09849157054126,-0.10038783051450541
AAP,"Consumer Affairs, Food And Public Distribution",0,16,248,0.3520851818988465,-0.3520851818988465,-35.20851818988465,-0.4979236393519469
AAP,Cooperation,0,16,38,0.053948535936113574,-0.053948535936113574,-5.394853593611358,-0.07629475119102411
AAP,Corporate Affairs,0,16,113,0.16042590949423247,-0.16042590949423247,-16.042590949423246,-0.2268764969627822
AAP,Culture,2,16,185,0.2626441881100266,1.7373558118899735,173.73558118899734,2.45699215184252
AAP,Defence,0,16,177,0.2512866015971606,-0.2512866015971606,-25.12866015971606,-0.3553729200213491
AAP,Drinking Water And Sanitation,0,16,73,0.1036379769299024,-0.1036379769299024,-10.36379769299024,-0.1465662325511779
AAP,Earth Sciences,0,16,51,0.07240461401952085,-0.07240461401952085,-7.240461401952085,-0.10239558712479552
AAP,Education,0,16,581,0.8248447204968944,-0.8248447204968944,-82.48447204968944,-0.9082096236535343
AAP,Electronics And Information Technology,0,16,127,0.180301685891748,-0.180301685891748,-18.0301685891748,-0.25498508950684373
AAP,"Environment,  Forests And Climate Change",0,16,315,0.4472049689440994,-0.4472049689440994,-44.72049689440994,-0.632443332241384
AAP,"Environment, Forest And Climate Change",1,16,60,0.08518189884649512,0.9148181011535049,91.4818101153505,1.2937481657556886
AAP,External Affairs,0,16,165,0.23425022182786157,-0.23425022182786157,-23.425022182786158,-0.3312798406978678
AAP,Finance,1,16,569,0.8078083407275953,0.19219165927240467,19.219165927240468,0.21383577734587322
AAP,"Fisheries, Animal Husbandry And Dairying",0,16,114,0.16184560780834073,-0.16184560780834073,-16.184560780834072,-0.22888425357307235
AAP,Food Processing Industries,0,16,114,0.16184560780834073,-0.16184560780834073,-16.184560780834072,-0.22888425357307235
AAP,Health,1,16,743,1.0548358473824313,-0.0548358473824313,-5.198519515477799,-0.05339149958236154
AAP,Heavy Industries,0,16,31,0.044010647737355815,-0.044010647737355815,-4.401064773735581,-0.06224045491899336
AAP,Heavy Industries And Public Enterprises,0,16,31,0.044010647737355815,-0.044010647737355815,-4.401064773735581,-0.06224045491899336
AAP,Home Affairs,0,16,314,0.4457852706299911,-0.4457852706299911,-44.578527062999115,-0.630435575631094
AAP,Housing And Urban  Poverty Alleviation,0,16,32,0.045430346051464066,-0.045430346051464066,-4.543034605146406,-0.06424821152928346
AAP,I&B,0,16,128,0.18172138420585626,-0.18172138420585626,-18.172138420585625,-0.25699284611713386
AAP,Jal Shakti,1,16,289,0.41029281277728485,0.5897071872227151,58.970718722271506,0.8339719019992535
AAP,Labour,0,16,242,0.343566992014197,-0.343566992014197,-34.3566992014197,-0.4858770996902062
AAP,Law And Justice,2,16,164,0.23283052351375333,1.7671694764862467,176.71694764862465,2.499155040658612
AAP,"Micro, Small And Medium Enterprises",0,16,38,0.053948535936113574,-0.053948535936113574,-5.394853593611358,-0.07629475119102411
AAP,"Micro,Small And Medium Enterprises",0,16,98,0.1391304347826087,-0.1391304347826087,-13.91304347826087,-0.1967601478084306
AAP,Mines,0,16,68,0.09653948535936113,-0.09653948535936113,-9.653948535936113,-0.13652744949972734
AAP,Minority Affairs,0,16,89,0.12635314995563443,-0.12635314995563443,-12.635314995563443,-0.17869033831581962
AAP,New And Renewable Energy,1,16,155,0.22005323868677906,0.7799467613132209,77.9946761313221,1.1030112877781282
AAP,Panchayati Raj,0,16,76,0.10789707187222715,-0.10789707187222715,-10.789707187222715,-0.15258950238204821
AAP,"Personnel, Public Grievances And Pensions",0,16,45,0.06388642413487133,-0.06388642413487133,-6.388642413487133,-0.09034904746305486
AAP,Petroleum,1,16,223,0.3165927240461402,0.6834072759538599,68.34072759538599,0.9664838382784009
AAP,Planning,0,16,58,0.08234250221827862,-0.08234250221827862,-8.234250221827862,-0.11644988339682627
AAP,"Ports, Shipping And Waterways",1,16,55,0.07808340727595386,0.9219165927240461,92.1916592724046,1.303786948807139
AAP,Power,0,16,165,0.23425022182786157,-0.23425022182786157,-23.425022182786158,-0.3312798406978678
AAP,Railways,0,16,701,0.99520851818988465,-0.99520851818988465,-99.52085181898846,-0.997601382411775
AAP,Road Transport,1,16,406,0.5763975155279503,0.42360248447204973,42.360248447204974,0.5579527835143389
AAP,Rural Development,1,16,321,0.45572315882874886,0.5442768411712511,54.42768411712511,0.7697236904699701
AAP,Science & Tech,0,16,80,0.11357586512866016,-0.11357586512866016,-11.357586512866016,-0.16062052882320865
AAP,Shipping,0,16,45,0.06388642413487133,-0.06388642413487133,-6.388642413487133,-0.09034904746305486
AAP,Skill Development And Entrepreneurship,0,16,152,0.2157941437444543,-0.2157941437444543,-21.57941437444543,-0.30517900476409643
AAP,Social Justice,0,16,155,0.22005323868677906,-0.22005323868677906,-22.005323868677905,-0.3112022745949668
AAP,Statistics And Programme Implementation,0,16,33,0.046850044365572316,-0.046850044365572316,-4.685004436557231,-0.06625596813957357
AAP,Steel,0,16,41,0.05820763087843833,-0.05820763087843833,-5.820763087843833,-0.08231802102189444
AAP,Textiles,0,16,153,0.21721384205856256,-0.21721384205856256,-21.721384205856257,-0.30718676137438655
AAP,Tourism,0,16,174,0.24702750665483586,-0.24702750665483586,-24.702750665483585,-0.34934965019047887
AAP,Tribal Affairs,0,16,129,0.1831410825199645,-0.1831410825199645,-18.31410825199645,-0.2590006027274239
AAP,Urban Development,0,16,238,0.337888198757764,-0.337888198757764,-33.7888198757764,-0.47784607324904577
AAP,"Water Resources, River Development And Ganaga Rejuvenation",1,16,108,0.15332741792369123,0.8466725820763088,84.66725820763088,1.1973758484617634
AAP,Women & Child,0,16,218,0.30949423247559893,-0.30949423247559893,-30.949423247559892,-0.4376909410432436
AAP,Youth Affairs And Sports,0,16,171,0.2427684117125111,-0.2427684117125111,-24.27684117125111,-0.3433263803596085
BJP,Agriculture,315,5359,689,327.6265306122449,-12.626530612244892,-3.8539402131595812,-0.6975807772525061
BJP,Atomic Energy,24,5359,68,32.33469387755102,-8.334693877551018,-25.776319111335518,-1.4657343861800112
BJP,"Ayurveda,Yoga & Naturopathy,Unani,Siddha And Homeopathy (Ayush)",90,5359,157,74.65510204081633,15.344897959183669,20.55438615674803,1.7759644089591322
BJP,Ayush,33,5359,53,25.20204081632653,7.79795918367347,30.941776662077903,1.5533277551155256
BJP,Chemicals And Fertilizers,104,5359,203,96.52857142857142,7.471428571428575,7.740121355631202,0.7604588341441463
BJP,Civil Aviation,154,5359,348,165.47755102040816,-11.477551020408157,-6.936016970055741,-0.8922358917474211
BJP,Coal,68,5359,137,65.14489795918368,2.8551020408163197,4.3826947777325165,0.35373776733873263
BJP,Commerce,128,5359,280,133.14285714285714,-5.142857142857139,-3.862660944206006,-0.4457029664176037
BJP,Communications,106,5359,186,88.44489795918368,17.555102040816323,19.848631685818447,1.866667497480799
BJP,Communications And Information Technology,25,5359,50,23.775510204081634,1.224489795918366,5.150214592274672,0.25112517227530584
BJP,"Consumer Affairs, Food And Public Distribution",119,5359,248,117.9265306122449,1.0734693877550967,0.9102865845216623,0.09885164553856182
BJP,Cooperation,29,5359,38,18.069387755102042,10.930612244897958,60.49243279873502,2.57141853200431
BJP,Corporate Affairs,61,5359,113,53.73265306122449,7.2673469387755105,13.525010444756733,0.9914178899566501
BJP,Culture,93,5359,185,87.96938775510205,5.030612244897952,5.718594130611289,0.5363583658064327
BJP,Defence,88,5359,177,84.16530612244898,3.834693877551018,4.556145583278774,0.4179883200931603
BJP,Drinking Water And Sanitation,42,5359,73,34.71224489795918,7.287755102040819,20.994767476042107,1.2369507823259844
BJP,Earth Sciences,23,5359,51,24.251020408163264,-1.2510204081632637,-5.158629975595382,-0.2540384100413278
BJP,Education,261,5359,581,276.27142857142854,-15.271428571428544,-5.527690159780745,-0.9187803080175374
BJP,Electronics And Information Technology,62,5359,127,60.38979591836735,1.6102040816326522,2.6663512554492903,0.20720448051600607
BJP,"Environment,  Forests And Climate Change",170,5359,315,149.78571428571428,20.214285714285722,13.49546971864569,1.6516697028800738
BJP,"Environment, Forest And Climate Change",17,5359,60,28.53061224489796,-11.53061224489796,-40.414878397711014,-2.158722519752617
BJP,External Affairs,70,5359,165,78.45918367346938,-8.459183673469383,-10.78163610352451,-0.9550070162057586
BJP,Finance,235,5359,569,270.565306122449,-35.56530612244899,-13.144813957172062,-2.1621732870180974
BJP,"Fisheries, Animal Husbandry And Dairying",47,5359,114,54.20816326530612,-7.208163265306119,-13.297191476545436,-0.9790215887965722
BJP,Food Processing Industries,56,5359,114,54.20816326530612,1.7918367346938808,3.3054739853926725,0.2433694662976762
BJP,Health,375,5359,743,353.30408163265304,21.695918367346962,6.140862643615093,1.1542601726688984
BJP,Heavy Industries,21,5359,31,14.740816326530613,6.259183673469387,42.46158106050117,1.630260209057394
BJP,Heavy Industries And Public Enterprises,17,5359,31,14.740816326530613,2.259183673469387,15.3260418108819,0.5884245358417134
BJP,Home Affairs,151,5359,314,149.31020408163266,1.689795918367338,1.131735053716404,0.13828959738328908
BJP,Housing And Urban  Poverty Alleviation,9,5359,32,15.216326530612244,-6.216326530612244,-40.853004291845494,-1.5935984890637134
BJP,I&B,56,5359,128,60.86530612244898,-4.8653061224489775,-7.993562231759653,-0.6236275111503433
BJP,Jal Shakti,125,5359,289,137.42244897959185,-12.422448979591849,-9.039606754087657,-1.059688886882503
BJP,Labour,91,5359,242,115.0734693877551,-24.073469387755097,-20.920086546305814,-2.2441458576965987
BJP,Law And Justice,80,5359,164,77.98367346938775,2.016326530612247,2.585575211975298,0.22832791981707312
BJP,"Micro, Small And Medium Enterprises",16,5359,38,18.069387755102042,-2.069387755102042,-11.452450869663435,-0.4868219550881949
BJP,"Micro,Small And Medium Enterprises",43,5359,98,46.6,-3.6000000000000014,-7.72532188841202,-0.5273628617781431
BJP,Mines,44,5359,68,32.33469387755102,11.665306122448982,36.07674829588489,2.0514539058288315
BJP,Minority Affairs,30,5359,89,42.320408163265306,-12.320408163265306,-29.112214881612577,-1.8938700321779036
BJP,New And Renewable Energy,86,5359,155,73.70408163265306,12.295918367346943,16.682818773362875,1.4322380311055594
BJP,Panchayati Raj,36,5359,76,36.138775510204084,-0.13877551020408418,-0.38400722837136464,-0.023084799985984804
BJP,"Personnel, Public Grievances And Pensions",22,5359,45,21.397959183673468,0.6020408163265323,2.8135431568908045,0.13014867724815601
BJP,Petroleum,107,5359,223,106.03877551020408,0.9612244897959243,0.9064839585057506,0.09334530414128393
BJP,Planning,28,5359,58,27.579591836734693,0.42040816326530717,1.5243451235755552,0.08005292834024416
BJP,"Ports, Shipping And Waterways",19,5359,55,26.153061224489797,-7.153061224489797,-27.35076082715568,-1.398719652871946
BJP,Power,84,5359,165,78.45918367346938,5.540816326530617,7.062036675770587,0.6255353556088392
BJP,Railways,321,5359,701,333.3326530612245,-12.332653061224505,-3.699803468986676,-0.6754879168255163
BJP,Road Transport,181,5359,406,193.05714285714285,-12.05714285714285,-6.245375166494002,-0.8677636808421432
BJP,Rural Development,145,5359,321,152.63877551020408,-7.638775510204084,-5.004479028786118,-0.618288701549861
BJP,Science & Tech,48,5359,80,38.04081632653061,9.95918367346939,26.18025751072962,1.6147259617906775
BJP,Shipping,21,5359,45,21.397959183673468,-0.3979591836734677,-1.8597997138769595,-0.0860304815708144
BJP,Skill Development And Entrepreneurship,86,5359,152,72.27755102040817,13.722448979591832,18.985769143889758,1.6140980404403449
BJP,Social Justice,71,5359,155,73.70408163265306,-2.7040816326530575,-3.6688356638515804,-0.31497350891532994
BJP,Statistics And Programme Implementation,15,5359,33,15.691836734693878,-0.6918367346938776,-4.408895825204839,-0.17464925110962212
BJP,Steel,21,5359,41,19.49591836734694,1.5040816326530617,7.714853972574063,0.3406430706582647
