topic,covariate,estimate,se,pval,ci_lo,ci_hi,sig
1,(Intercept),-0.5069922799414792,0.675131110447273,0.4535631058573908,-1.8302492564181343,0.8162646965351759,FALSE
1,bjp,-0.13098906467674268,0.050595543258552596,0.010334239443880589,-0.23015632946350578,-0.03182179988997959,TRUE
1,inc,-0.11347391991754867,0.05181226735360212,0.029673605603689653,-0.21502596393060883,-0.01192187590448851,TRUE
1,left,-0.0011886697404502103,0.06441864300946247,0.985296454734859,-0.12744921003899665,0.12507187055809624,FALSE
1,lok_num,0.03906320967339968,0.040967610320258856,0.34148045560440854,-0.041233306554307673,0.11935972590110702,FALSE
2,(Intercept),-0.03170627173781899,0.5335900957264961,0.9526763941328394,-1.0775428593617513,1.0141303158861135,FALSE
2,bjp,-0.09719481206359994,0.04525494288513845,0.0329392203510526,-0.1858945001184713,-0.00849512400872858,TRUE
2,inc,-0.09169529137230864,0.04537671436474508,0.044638288617598824,-0.180633651527209,-0.00275693121740829,TRUE
2,left,-0.09728363370376795,0.051161135071790625,0.05867214590913459,-0.1975594584444776,0.0029921910369416632,FALSE
2,lok_num,0.00804080908753559,0.03242186769286593,0.8043844147624937,-0.055506051590481637,0.07158766976555281,FALSE
3,(Intercept),0.1873054955359677,0.32592474197420374,0.566147242505096,-0.4515069987334716,0.826117989805407,FALSE
3,bjp,-0.026416118939473213,0.027789015579251064,0.3429569642950243,-0.0808825894748053,0.028050351595858874,FALSE
3,inc,-0.02017695251036502,0.030034559471781245,0.5024918883216799,-0.07904468907505627,0.03869078405432622,FALSE
3,left,-0.03353987795060695,0.03072422233817291,0.2763034169107671,-0.09375935373342585,0.02667959783221195,FALSE
3,lok_num,-0.009400127730929417,0.019786234769961886,0.6352453524002687,-0.04818114788005471,0.02938089241819588,FALSE
4,(Intercept),-0.07387150404256683,0.48803186926488407,0.8798394601670589,-1.0304139678017397,0.8826709597166059,FALSE
4,bjp,0.007766818152805251,0.04122810745777169,0.8507647064673247,-0.07304027246442726,0.08857390877003776,FALSE
4,inc,-0.01618056622569024,0.04169718976260344,0.6983922466161083,-0.09790705816039298,0.0655459257090125,FALSE
4,left,0.07364306409570817,0.05608156668703808,0.1906396792947207,-0.03627680661088646,0.1835629348023028,FALSE
4,lok_num,0.007415302366512113,0.02953122601877053,0.801994289267199,-0.05046590063027813,0.06529650536330235,FALSE
5,(Intercept),-1.2509365350263681,0.3484972884461181,4.167446871590848e-4,-1.9339912203807597,-0.5678818496719766,TRUE
5,bjp,-5.357406970712023e-4,0.027872531549479575,0.9846838876438286,-0.05516590253405117,0.05409442113990877,FALSE
5,inc,0.28110571865428535,0.04693837070588757,9.662049226943797e-9,0.18910651207074572,0.373104925237825,TRUE
5,left,0.02712776445432493,0.035092986102704754,0.4404200710672699,-0.041654488306976385,0.09591001721562625,FALSE
5,lok_num,0.07593374926278028,0.02113413398733758,4.1162919570068054e-4,0.034510846647598625,0.11735665187796193,TRUE
6,(Intercept),-0.7831544874295523,0.38875268963949805,0.04529302738213979,-1.5451097591229686,-0.021199215736136146,TRUE
6,bjp,-0.03628772131209067,0.03240783972154177,0.2641757885526851,-0.09980708716631254,0.0272316445421312,FALSE
6,inc,0.017782695008570586,0.036435830773492196,0.626045402270748,-0.05363153330747411,0.08919692332461529,FALSE
6,left,0.035135381118309404,0.05022931479303982,0.4850526685681166,-0.06331407587604865,0.13358483811266744,FALSE
6,lok_num,0.04982984576980771,0.02367093221336759,0.03653044257683097,0.003434818631607231,0.09622487290800819,TRUE
7,(Intercept),1.6611882676523855,0.5167007834224641,0.001521101769122004,0.6484547321443559,2.673921803160415,TRUE
7,bjp,-0.04526009844713063,0.044594452851687276,0.3113670199503131,-0.13266522603643768,0.04214502914217643,FALSE
7,inc,0.24869704917783803,0.05915178674258705,3.946638853614544e-5,0.1327595471623674,0.3646345511933087,TRUE
7,left,0.17617935124564313,0.0699174458594611,0.012523419077050384,0.03914115736109938,0.31321754513018685,TRUE
7,lok_num,-0.09777380838817394,0.03125826928397766,0.002023130495202148,-0.15904001618477015,-0.03650760059157773,TRUE
8,(Intercept),-0.3323420080458869,0.3712239655647573,0.3717242483351909,-1.0599409805528113,0.39525696446103736,FALSE
8,bjp,0.1349164658247551,0.04201737197012683,0.0015414815278873872,0.05256241676330653,0.2172705148862037,TRUE
8,inc,-0.006496730300816034,0.03359809158750881,0.8468685341439518,-0.0723489898123333,0.05935552921070124,FALSE
8,left,-0.010782066844097401,0.03683911577654456,0.7700702942079861,-0.08298673376612474,0.06142260007792994,FALSE
8,lok_num,0.021504161858375833,0.02246221379347925,0.33954730080469286,-0.022521777176843494,0.06553010089359516,FALSE
9,(Intercept),1.7418117117640346,0.5551533032640834,0.0019610766883780624,0.6537112373664311,2.8299121861616383,TRUE
9,bjp,-0.08324442765737658,0.043598262529763745,0.05764801676625302,-0.16869702221571353,0.0022081669009603594,FALSE
9,inc,-0.08165263916779517,0.04359253065008173,0.0625151732308272,-0.16709399924195534,0.00378872090636502,FALSE
9,left,-0.028918639118097104,0.05534691361000934,0.601902075872248,-0.13739858979371541,0.07956131155752119,FALSE
9,lok_num,-0.10003697699100396,0.033314744444905335,0.003016555141044205,-0.16533387610301842,-0.0347400778789895,TRUE
10,(Intercept),0.6569843588792493,0.3402553113359476,0.05491460807825823,-0.00991605133920792,1.3238847690977065,FALSE
10,bjp,0.11437290660755735,0.03791818848160427,0.0028908531817530407,0.04005325718361298,0.1886925560315017,TRUE
10,inc,0.027437401146515758,0.031551983391759485,0.3855649878571471,-0.03440448630133283,0.08927928859436435,FALSE
