doc,word,n,tf,idf,tf_idf
Supriya Sule,dfccil,5,0.0010757314974182443,0.6931471805599453,7.45640254474984e-4
Supriya Sule,responded,4,8.605851979345956e-4,0.6931471805599453,5.965122035799874e-4
Supriya Sule,affidavit,3,6.454388984509467e-4,0.6931471805599453,4.473841526849905e-4
Supriya Sule,oxytocin,3,6.454388984509467e-4,0.6931471805599453,4.473841526849905e-4
Supriya Sule,questionnaire,3,6.454388984509467e-4,0.6931471805599453,4.473841526849905e-4
Supriya Sule,reclassification,3,6.454388984509467e-4,0.6931471805599453,4.473841526849905e-4
Supriya Sule,compliances,2,4.302925989672978e-4,0.6931471805599453,2.982561017899937e-4
Supriya Sule,explosive,2,4.302925989672978e-4,0.6931471805599453,2.982561017899937e-4
Supriya Sule,obviated,2,4.302925989672978e-4,0.6931471805599453,2.982561017899937e-4
Supriya Sule,refiners,2,4.302925989672978e-4,0.6931471805599453,2.982561017899937e-4
Supriya Sule,rndian,2,4.302925989672978e-4,0.6931471805599453,2.982561017899937e-4
Supriya Sule,suzuki,2,4.302925989672978e-4,0.6931471805599453,2.982561017899937e-4
Supriya Sule,accenture,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,availabili,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,buirding,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,castings,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,cautionary,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,checklist,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,colonization,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,curtailing,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,deboarding,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,forgings,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,genset,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,gensets,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,handhold,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,heaviry,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
