party_family,house,n_questions,pct_hindi,pct_tamil,pct_telugu,pct_bengali,pct_regional,mean_hindi_hits
AAP,Rajya Sabha,85,4.705882352941177,0,0,0,0,0.08235294117647059
AIADMK,Rajya Sabha,365,3.5616438356164384,1.095890410958904,0,0,1.095890410958904,0.043835616438356165
BJD,Rajya Sabha,325,3.076923076923077,0,0.3076923076923077,0,0.3076923076923077,0.04923076923076923
BJP,Lok Sabha,2243,4.1016495764600975,0,0,0,0,0.0780205082478823
BJP,Rajya Sabha,2156,5.1020408163265305,0.0463821892393321,0.0463821892393321,0.0463821892393321,0.13914656771799627,0.07328385899814471
BSP,Rajya Sabha,167,2.3952095808383236,0,0,0,0,0.041916167664670656
DMK,Rajya Sabha,337,4.451038575667656,0.2967359050445104,0.2967359050445104,0,0.5934718100890208,0.05341246290801187
INC,Lok Sabha,531,5.084745762711865,0,0,0,0,0.0903954802259887
INC,Rajya Sabha,2430,4.156378600823045,0,0.1646090534979424,0,0.1646090534979424,0.06172839506172839
JDU,Rajya Sabha,198,2.0202020202020203,0,0,0,0,0.025252525252525252
Left,Lok Sabha,123,1.6260162601626018,0,0,0,0,0.04065040650406504
Left,Rajya Sabha,596,2.8523489932885906,0,0.5033557046979865,0,0.5033557046979865,0.03691275167785235
NCP,Lok Sabha,84,2.380952380952381,0,0,0,0,0.023809523809523808
NCP,Rajya Sabha,134,0.7462686567164178,0,0,0,0,0.007462686567164179
RJD,Lok Sabha,30,3.3333333333333335,0,0,0,0,0.03333333333333333
RJD,Rajya Sabha,177,6.214689265536723,0,0,0,0,0.0847457627118644
SP,Lok Sabha,39,2.564102564102564,0,0,0,0,0.02564102564102564
SP,Rajya Sabha,371,3.7735849056603774,0,0,0,0,0.05121293800539083
TDP,Lok Sabha,174,3.4482758620689653,0,0,0,0,0.05172413793103448
TDP,Rajya Sabha,311,3.215434083601286,0,2.572347266881029,0,2.572347266881029,0.04823151125401929
TMC,Lok Sabha,91,6.593406593406594,0,0,0,0,0.15384615384615385
TMC,Rajya Sabha,470,4.8936170212765955,0,0,0.2127659574468085,0.2127659574468085,0.08085106382978724
