topic_id,n_questions,mean_compound,pct_adversarial
20.0,46,-0.05836884057971015,54.347826086956516
15.0,83,-0.0457214859437751,48.19277108433735
21.0,45,0.1547003192239859,8.88888888888889
24.0,28,0.16078005952380953,32.142857142857146
11.0,118,0.19470627118644068,26.27118644067797
18.0,70,0.20481395238095237,28.57142857142857
28.0,19,0.2336701754385965,10.526315789473683
12.0,103,0.25958661812297734,26.21359223300971
4.0,229,0.26031273653566234,19.65065502183406
5.0,228,0.2917896564327485,16.228070175438596
8.0,147,0.30887778911564623,12.244897959183673
6.0,195,0.3193587094017094,17.435897435897434
1.0,325,0.32857556956815115,13.230769230769232
14.0,84,0.32948125,21.428571428571427
16.0,77,0.3519234817563389,9.090909090909092
26.0,23,0.3583142512077295,8.695652173913043
9.0,139,0.3594895158830918,17.985611510791365
13.0,91,0.3767322922691344,10.989010989010989
0.0,345,0.3993859259050129,6.3768115942028984
2.0,281,0.4062974555160142,6.405693950177936
27.0,20,0.41459833333333335,10.0
7.0,168,0.41700471277399853,9.523809523809524
3.0,239,0.4471704600722383,8.786610878661087
23.0,36,0.46674444444444446,8.333333333333332
22.0,45,0.4743144444444444,2.2222222222222223
19.0,48,0.48296508374183006,4.166666666666666
17.0,73,0.531421490026436,5.47945205479452
10.0,137,0.5439370924574208,0.7299270072992701
25.0,23,0.552027463768116,4.3478260869565215
