mp,party,constituency,degree,strength,betweenness
RAKSHA NIKHIL KHADSE,BJP,Raver,13,13,0.012390796844482996
SHRI VIJAY BAGHEL,BJP,Durg,8,8,0.012272837327861115
DR. RAJEEV BHARADWAJ,INC,Hingoli,2,2,0.012053234228638165
HEMANT TUKARAM GODSE,Shiv Sena,Nashik,19,19,0.011991917858506982
FAIZAL P.P. MOHAMMED,NCP,Lakshadweep (ST),23,25,0.01177733305384906
SHRI ANAND BHADAURIA,DMK,Vellore,5,5,0.011460566665200546
REDDEPPA NALLAKONDA GARI,YSRCP,Chittoor (SC),16,17,0.011260319589129084
SHRI BASTIPATI NAGARAJU,TDP,Kurnool,2,2,0.011110833998403832
NARANBHAI KACHHADIA,BJP,Amreli,20,25,0.011092481436236
FEROZE VARUN GANDHI,INC,Wayanad,17,18,0.011046485888948748
SUMEDHANAND SARASWATI,BJP,Sikar,24,44,0.011031335396602844
SHRI ANIL FIROJIYA,BJP,Ujjain (SC),7,7,0.011023532665374761
SHRI DINESHBHAI MAKWANA,BJP,Ahmedabad West (SC),8,9,0.010962458522319364
SHRI HARIBHAI PATEL,BJP,Mahesana,4,4,0.01093376126906504
SHARAD TRIPATHI,BJP,Sant Kabir Nagar,12,12,0.010904743931175725
SMT. BHARTI PARDHI,BJP,Balaghat,9,18,0.010896764228621778
DEEPAK BAIJ,INC,Bastar (ST),13,13,0.010896203154229555
KRUPAL BALAJI TUMANE,Shiv Sena,Ramtek (SC),28,60,0.010759326125672904
RODMAL NAGAR,BJP,Rajgarh,21,28,0.010686369840201795
ASHOK SHANKARRAO CHAVAN,INC,Nanded,23,36,0.010666127373166598
SHRI CHANDRA PRAKASH CHOUDHARY,Regional,Giridih,9,9,0.01054443086925244
SHRI BHOJRAJ NAG,BJP,Kanker (ST),3,3,0.010471321389991583
Y. S. AVINASH REDDY,YSRCP,Kadapa,18,20,0.010378744305586008
JYOTIRADITYA MADHAVRAO SCINDIA,INC,Guna,22,46,0.010273045424078198
SUPRIYA SADANAND SULE,NCP,Baramati,30,61,0.010211186644715233
SHRI BALABHADRA MAJHI,BJP,Nabarangpur (ST),18,20,0.010170387651301259
SUDHEER GUPTA,BJP,Mandsour,35,72,0.00998389692927364
BHOLA SINGH,BJP,Bulandshahr (SC),19,32,0.009707583212053455
LALLU SINGH,BJP,Faizabad,19,19,0.00969974087071211
PROF. SOUGATA RAY,BJP,Andaman and Nicobar Islands,4,4,0.00959063399356695
DR. NISHIKANT DUBEY,BJP,Godda,9,9,0.009469578963746346
M. K. RAGHAVAN,INC,Kozhikode,16,16,0.009413879000862295
M.K. VISHNU PRASAD,INC,Arani,12,12,0.009407721204522723
MANOJ KUMAR TIWARI,BJP,North East Delhi,23,30,0.00937416502915829
SHRI MANOJ TIWARI,BJP,North East Delhi,10,12,0.009274060417717354
OM BIRLA,BJP,Kota,15,15,0.00926967952217488
RAMESH BIDHURI,BJP,South Delhi,14,15,0.009232989368686703
SHRI BHARTRUHARI MAHTAB,BJP,Cuttack,9,10,0.009229012518387234
SANJAY SHAMRAO DHOTRE,BJP,Akola,19,49,0.009187106536277589
SMT. ROOPKUMARI CHOUDHARY,BJP,Ranchi,10,11,0.009150046152498101
MS. MAHUA MOITRA,TMC,Krishnanagar,3,3,0.009124143151778294
RAVI KISHAN SHUKLA,BJP,Patna Sahib,22,45,0.00899570859515566
SHRI VIJAY KUMAR DUBEY,BJP,Kushinagar,9,9,0.008959819101789841
SHRI SAPTAGIRI SANKAR ULAKA,INC,Koraput (ST),2,2,0.008898643256185156
SHRI UTKARSH VERMA MADHUR,TDP,Amalapuram (SC),2,2,0.008898643256185156
SHRI DAGGUMALLA PRASADA RAO,TDP,Chittoor (SC),2,4,0.008898643256185156
PINAKI MISRA,Regional,Puri,19,19,0.008864549954366948
BHARTRUHARI MAHTAB,Regional,Cuttack,17,53,0.008526016898269458
JAGDAMBIKA PAL,BJP,Domariyaganj,15,15,0.00846798259596039
ASHOK MAHADEORAO NETE,BJP,Gadchiroli–Chimur (ST),16,17,0.008427138220582206
AJAY NISHAD,BJP,Muzaffarpur,11,11,0.008344083230510136
SHRI BENNY BEHANAN,INC,Chalakudy,8,9,0.008319485775770071
BHAVANA GAWALI (PATIL),Shiv Sena,Yavatmal–Washim,19,42,0.00830194713860721
RAJENDRA AGRAWAL,BJP,Meerut,15,16,0.008114318564248059
JITENDRA CHAUDHURY,BJP,Udhampur,8,8,0.008100672419251812
KALIKESH NARAYAN SINGH DEO,Regional,Bolangir,16,16,0.007973984858646347
SHRI BHARATSINHJI SHANKARJI DABHI,BJP,Patan,3,3,0.007926939515184705
SUDHAKAR TUKARAM SHRANGRE,BJP,Latur (SC),16,19,0.007836357236123066
DR. PRASHANT YADAORAO PADOLE,INC,Bhandara–Gondiya,4,4,0.007834180095845335
SHRI RAJESH RANJAN,RJD,Madhepura,5,5,0.00781594627510308
SUNIL KUMAR MONDAL,TMC,Jaynagar (SC),11,11,0.0075782698211831635
SANJAY HARIBHAU JADHAV,Shiv Sena,Parbhani,20,39,0.007551123039757868
SHRI JOYANTA BASUMATARY,Regional,Kokrajhar (ST),2,2,0.007533246089387816
JANARDAN SINGH SIGRIWAL,BJP,Maharajganj,11,11,0.007405155996541953
ASADUDDIN OWAISI,Regional,Hyderabad,19,36,0.007391852758610131
SMT. JYOTSNA CHARANDAS MAHANT,INC,Korba,4,4,0.007362143291447118
SHRI NEERAJ MAURYA,SP,Aonla,3,4,0.007356410388876239
DR. PRABHA MALLIKARJUN,INC,Davanagere,2,2,0.007346590536746652
VIRENDRA KUMAR,BJP,Tikamgarh (SC),12,12,0.007245670597174149
MANSUKHBHAI DHANJIBHAI VASAVA,BJP,Bharuch,16,24,0.007211627377708855
AJAY (TENI) MISRA,Regional,Puri,14,16,0.007131791253848278
SHRI SHASHANK MANI,BJP,Deoria,5,5,0.00710994600351077
SHRI MAHENDRA SINGH SOLANKY,BJP,Dewas (SC),2,2,0.007047537393413138
HARISH CHANDRA MEENA,BJP,Dausa (ST),9,9,0.006975591291383601
RITI PATHAK,BJP,Sidhi,18,29,0.0069291981737593595
SHRI KHAGEN MURMU,BJP,Maldaha Uttar,12,13,0.006901218623164263
SANTOSH KUMAR,JDU,Purnia,12,17,0.006790279862147059
GAUTHAM SIGAMANI PON,DMK,Kallakurichi,14,17,0.006729422232922253
SHRI SAUMITRA KHAN,BJP,Bishnupur (SC),3,3,0.00668645251396648
SHRI KESINENI SIVANATH,TDP,Vijayawada,2,4,0.006681464485235435
SHRI HANUMAN BENIWAL,Regional,Nagaur,2,3,0.006681464485235435
SHRI CHARANJIT SINGH CHANNI,INC,Jalandhar (SC),2,2,0.006681464485235435
DHARMENDRA YADAV,SP,Badaun,28,54,0.006679906177989985
KOTAGIRI SRIDHAR,YSRCP,Eluru,13,13,0.006632632105447965
RAGHU RAMAKRISHNA RAJU KANUMURU,YSRCP,Narasapuram,11,13,0.006553073097444721
SHRI ASHOK KUMAR RAWAT,BJP,Misrikh (SC),4,5,0.0065259012871666635
SOUGATA RAY,BJP,Bhind (SC),11,13,0.006442085857608838
DR. MOHAMMAD JAWED,INC,Kishanganj,4,4,0.006433337114129663
MAGUNTA SREENIVASULU REDDY,YSRCP,Ongole,17,20,0.006432075504265439
MEENAKASHI LEKHI,BJP,New Delhi,17,18,0.006414851927042456
SHRI SUKANTA KUMAR PANIGRAHI,BJP,Kandhamal,4,4,0.00636384041935718
SHRI JAGDAMBIKA PAL,BJP,Domariyaganj,11,11,0.006321841835375042
RAJESH RANJAN (PAPPU YADAV),RJD,Madhepura,15,17,0.006315386935520688
GOPAL CHINAYYA SHETTY,BJP,Mumbai North,13,13,0.006288290083111463
J.C. DIVAKAR REDDY,TDP,Anantapur,11,13,0.00628133505490429
RAVINDRA VISHWANATH GAIKWAD,Shiv Sena,Osmanabad,15,15,0.0062746251397876205
SMT. LOVELY ANAND,JDU,Sheohar,6,7,0.0062536646813464375
SHRI GOPAL JEE THAKUR,BJP,Darbhanga,5,5,0.00625094421114795
JUGAL KISHORE SHARMA,BJP,Jammu,15,26,0.0062416928912304714
SURESH KODIKUNNIL,INC,Mavelikara (SC),16,16,0.0062368130533192795
SHRI NALIN SOREN,Regional,Dumka (ST),10,10,0.006236423149606336
BHAIRON PRASAD MISHRA,BJP,Banda,10,10,0.006198054924927052
ADOOR PRAKASH,INC,Attingal,11,11,0.006136464851829261
KRISHNA PAL SINGH YADAV,BJP,Guna,13,22,0.006129449636528566
KURUVA GORANTLA MADHAV,YSRCP,Hindupur,13,15,0.005957136810701098
K. ASHOK KUMAR,BJP,Madhubani,17,17,0.00595329316461873
SAIKIA DILIP,BJP,Mangaldoi,7,14,0.0059366438309780955
SHRI MANISH JAISWAL,BJP,Hazaribagh,8,8,0.005912057597464535
GEORGE BAKER,BJP,Anglo-Indian Community,9,16,0.005883055922179735
SMT. SANJNA JATAV,INC,Bharatpur (SC),2,2,0.005848745388412686
SANGANNA AMARAPPA KARADI,BJP,Koppal,12,14,0.00582212876865506
MANNE SRINIVAS REDDY,Regional,Mahabubnagar,12,22,0.005769214963868232
DR. SANJAY JAISWAL,BJP,Paschim Champaran,10,10,0.005657973801122844
SMT. SHOBHANABEN MAHENDRASINH BARAIYA,BJP,Sabarkantha,10,11,0.0056260082164344615
SHRI PRADYUT BORDOLOI,INC,Nagaon,3,3,0.005621863170298396
SRINIVAS KESINENI,TDP,Vijayawada,12,12,0.005560963932200585
SHRI HARISH CHANDRA MEENA,INC,Tonk–Sawai Madhopur,3,3,0.005560505581535232
SADASHIV KISAN LOKHANDE,Shiv Sena,Shirdi (SC),14,18,0.005553770279250281
KINJARAPU RAM MOHAN NAIDU,TDP,Srikakulam,10,10,0.005532412023691358
DHANANJAY BHIMRAO MAHADIK,NCP,Kolhapur,16,47,0.005439466422122299
HARISHCHANDRA DEORAM CHAVAN,INC,Nanded,22,34,0.00542188557560261
CH. MALLA REDDY,TDP,Malkajgiri,13,16,0.0054209966649124385
SHRI DILESHWAR KAMAIT,JDU,Supaul,2,2,0.005405384987545583
E. T. MOHAMMED BASHEER,Regional,Ponnani,12,12,0.005358094720057178
NAGENDRA KUMAR PRADHAN,Regional,Sambalpur,12,12,0.005304181383968329
KANAKMAL KATARA,BJP,Banswara (ST),10,17,0.005244077253427922
DUSHYANT CHAUTALA,Regional,Hisar,14,14,0.005199611619210203
KIRRON KHER,BJP,Chandigarh,8,8,0.0051827305210384615
DR. SHRIKANT EKNATH SHINDE,Shiv Sena,Kalyan,10,24,0.005129133855303124
KRISHNAN NARAYANASAMY RAMACHANDRAN,INC,Vatakara,14,14,0.005114132546692908
KIRTI VARDHAN SINGH,BJP,Gonda,6,6,0.005025368851003711
SHRI ANURAG SHARMA,BJP,Jhansi,5,5,0.005006421371745626
DIPSINH SHANKARSINH RATHOD,BJP,Sabarkantha,13,13,0.005004144005323336
S.R. PARTHIBAN,DMK,Salem,9,9,0.004930380034441721
VINOD CHAVDA,BJP,Kachchh (SC),14,16,0.004928878301231048
KIRIT PREMJIBHAI SOLANKI,BJP,Ahmedabad West (SC),13,14,0.004927990340579863
KOTHA PRABHAKAR REDDY,Regional,Medak,14,20,0.0049138993224488794
SHRI ARVIND GANPAT SAWANT,Shiv Sena,Mumbai South,10,17,0.004883066124404902
VIJAY BAGHEL,BJP,Durg,6,6,0.004871259110760421
KUNWAR HARIBANSH SINGH,BJP,Bijnor,20,37,0.004850812029393096
PRATAPRAO JADHAV,Shiv Sena,Buldhana,16,19,0.0048355420529463
ABHISHEK SINGH,BJP,Rajnandgaon,9,9,0.004813000116788838
SAJDA AHMED,TMC,Uluberia,10,10,0.004785325768342783
ANTO ANTONY,INC,Pathanamthitta,14,14,0.004728190444291511
BEHANAN BENNY,INC,Chalakudy,15,19,0.0047278919015378085
SU THIRUNAVUKKARASAR,INC,Tiruchirappalli,9,10,0.004706967058325174
PRATAPRAO GANPATRAO JADHAV,Shiv Sena,Buldhana,14,19,0.004623457883147238
POONAMBEN HEMATBHAI MAADAM,BJP,Jamnagar,13,13,0.0046187184685175355
PRAHLAD SINGH PATEL,BJP,Damoh,14,15,0.004616350344932055
BHARATI DHIRUBHAI SHIYAL,BJP,Bhavnagar,10,13,0.004588950843928839
NARANBHAI BHIKHABHAI KACHHADIYA,BJP,Amreli,8,12,0.0045795771463764505
BALKA SUMAN,Regional,Peddapalle (SC),10,10,0.004532868281700638
SHRI RAHUL KASWAN,INC,Churu,3,3,0.00447813073299406
RAJAN BABURAO VICHARE,Shiv Sena,Thane,10,10,0.004468282975462956
SHRI APPALANAIDU KALISETTI,TDP,Vizianagaram,3,8,0.004461791699920192
SHRI THARANIVENTHAN M S,DMK,Arani,3,3,0.004461791699920192
SHRI DEVESH SHAKYA,SP,Etah,3,4,0.004461791699920192
SHRI MAGUNTA SREENIVASULU REDDY,TDP,Ongole,4,7,0.004459297685554669
ADV GOWAAL KAGADA PADAVI,INC,Nandurbar (ST),2,2,0.004459297685554669
MS. S JOTHIMANI,INC,Karur,2,2,0.004459297685554669
SHRI KISHORI LAL,INC,Amethi,2,2,0.004459297685554669
ADV. CHANDRA SHEKHAR,BJP,Chittorgarh,2,3,0.004459297685554669
SHRI ROBERT BRUCE C,INC,Tirunelveli,2,2,0.004459297685554669
OMPRAKASH BHUPALSINH ALIAS PAWAN RAJENIMBALKAR,Shiv Sena,Osmanabad,14,24,0.004383547748329886
JYOTIRMAY SINGH MAHATO,BJP,Purulia,7,7,0.0043765766763026875
T. R. PAARIVENDHAR,DMK,Perambalur,10,10,0.004340545378541538
(ADV.) JOICE GEORGE,Independent,Idukki,14,15,0.004296521615015437
BHARAT SINGH,BJP,Ballia,17,26,0.004269861514235442
VINCENT H PALA,INC,Shillong (ST),8,8,0.004256829411743308
"BAIJAYANT ""JAY"" PANDA",Regional,Kendrapara,11,11,0.004234149027113776
S.P. MUDDAHANUMEGOWDA,INC,Tumkur,13,13,0.004167193945023076
KHAGEN MURMU,BJP,Maldaha Uttar,13,15,0.004163379861872072
APARAJITA SARANGI,BJP,Bhubaneswar,6,6,0.004162271559114009
UDAY PRATAP SINGH,BJP,Hoshangabad,12,12,0.004156116598776079
POCHA BRAHMANANDA REDDY,YSRCP,Nandyal,13,15,0.004133510956965218
SMT. DELKAR KALABEN MOHANBHAI,BJP,Dadra and Nagar Haveli (ST),6,17,0.0041130652732990925
DR. KALYAN VAIJINATHRAO KALE,INC,Jalna,4,4,0.00410992111246794
RAMACHANDRAN MULLAPPALLY,INC,Vatakara,12,12,0.004046667587583264
DUSHYANT SINGH,BJP,Jhalawar–Baran,9,9,0.0040172010109918825
BALABHADRA MAJHI,Regional,Nabarangpur (ST),14,14,0.00401715702865786
RAJEEV SHANKARRAO SATAV,INC,Hingoli,15,35,0.004002185514337268
MUTHAMSETTI SRINIVASA RAO (AVNTHI),TDP,Anakapalli,7,9,0.0039858209055165334
RAJASHREE MALLICK,Regional,Jagatsinghpur (SC),4,4,0.003968750578313242
REKHA ARUN VERMA,BJP,Dhaurahra,13,14,0.003911765541259367
NINONG ERING,INC,Arunachal East,11,11,0.0038367458431942877
SUSHIL KUMAR SINGH,BJP,Aurangabad,10,10,0.003829439236067296
SHRI K C VENUGOPAL,INC,Alappuzha,3,3,0.0038219253644732453
HARIOM SINGH RATHORE,BJP,Rajsamand,10,10,0.0038072268173654803
GANESH SINGH,BJP,Satna,6,8,0.0037728069155275644
CHANDESHWAR PRASAD,JDU,Jahanabad,6,6,0.003743265929009885
SHRI DHARMENDRA YADAV,SP,Badaun,3,3,0.0037389474165243305
SHRI SUKHDEO BHAGAT,INC,Lohardaga (ST),3,3,0.0037176165766767974
K. MURALEEDHARAN,INC,Vatakara,10,13,0.003693657363710356
RANGASWAMY DHRUVANARAYANA,INC,Chamarajanagar (SC),13,15,0.0036527595644698777
SANJAY SADASHIVRAO MANDLIK,Shiv Sena,Kolhapur,18,30,0.0036524006724199037
SHRI Y S AVINASH REDDY,YSRCP,Kadapa,2,2,0.0036288425178838198
SHRI KARTI P CHIDAMBARAM,INC,Sivaganga,3,3,0.003624693938294243
VENKATESH NETHA BORLAKUNTA,Regional,Peddapalli (SC),13,20,0.003589893461487973
MS. BANSURI SWARAJ,BJP,New Delhi,4,4,0.0035800117384181757
ADVOCATE NARENDRA KESHAV SAWAIKAR,BJP,South Goa,8,8,0.0035552523450037726
SHRI TAPIR GAO,BJP,Arunachal East,5,5,0.0035446917020423296
SHRI LUMBARAM CHOUDHARY,BJP,Jalore,5,7,0.003535377474403389
RITA BAHUGUNA JOSHI,BJP,Allahabad,11,15,0.0035324212156643765
BHAGWANTH KHUBA,BJP,Bidar,11,11,0.0035032784755792998
B. SREERAMULU,BJP,Bellary (ST),15,21,0.003497267381762006
PASHUPATI NATH SINGH,BJP,Dhanbad,8,8,0.0034700701596353453
SHANKAR LALWANI,BJP,Indore,7,7,0.003460776150060716
YOGI ADITYANATH,BJP,Gorakhpur,9,10,0.0034351997283443877
M. B. RAJESH,Left,Palakkad,12,14,0.0034090837217374266
SHRI JANARDAN SINGH SIGRIWAL,BJP,Maharajganj,4,4,0.003405025127822113
SHRI UJJWAL RAMAN SINGH,INC,Allahabad,2,2,0.003369643537375434
SONA RAM CHOUDHARY,BJP,Ranchi,7,7,0.0033534076398849017
D.K. SURESH,INC,Bangalore Rural,7,15,0.00334546738595585
V. KALANIDHI,DMK,Chennai North,6,6,0.003314054568030142
RANJEETA KOLI,BJP,Bharatpur (SC),16,25,0.003252727177978831
RAM CHARITRA,BJP,Machhlishahr (SC),9,10,0.0032466219321855487
SHOBHA KARANDLAJE,BJP,Udupi Chikmagalur,8,18,0.0032194926354010543
B.V. NAYAK,INC,Raichur (ST),11,11,0.0032124314240673346
RAHUL KASWAN,INC,Churu,10,10,0.00319211165928412
A. GANESHAMURTHI,DMK,Erode,8,8,0.003188354570672682
SHRI VIJAYAKUMAR ALIAS VIJAY VASANTH,INC,Kanniyakumari,4,11,0.0031462323147279253
SHRI BIDYUT BARAN MAHATO,BJP,Jamshedpur,8,10,0.0031352512869933557
ARUN SAO,BJP,Bilaspur,8,11,0.0031122078855580844
A.K.P. CHINRAJ,DMK,Namakkal,6,6,0.003088666341530769
GEETHA KOTHAPALLI,YSRCP,Araku (ST),12,14,0.0030794703719503494
SANKAR PRASAD DATTA,Left,Tripura West,7,7,0.0030765967624464116
JAYADEV GALLA,TDP,Guntur,11,11,0.003030246589526449
BADRUDDIN AJMAL,Regional,Dhubri,5,5,0.0030135163086184268
SHIVAJI ADHALRAO PATIL,INC,Latur (SC),21,40,0.002995025907979608
BANSHILAL MAHTO,BJP,Korba,11,12,0.0029804304882079216
RAJENDRA DHEDYA GAVIT,Shiv Sena,Palghar (ST),10,11,0.0029670022503828007
SHRI ALOK SHARMA,BJP,Bhopal,6,7,0.002946826162137639
PRITAM GOPINATH MUNDE,BJP,Beed,22,49,0.00293891001617361
S. RAMALINGAM,DMK,Mayiladuthurai,6,6,0.002927826117891001
DILESHWAR KAMAIT,JDU,Supaul,9,11,0.0029082717265656016
SHRI SATISH KUMAR GAUTAM,BJP,Aligarh,5,6,0.0029011313158110704
KULDEEP RAI SHARMA,INC,Andaman and Nicobar Islands,10,11,0.00289459871686936
KESHARI DEVI PATEL,BJP,Phulpur,6,13,0.0028868892641009014
PRATAPRAO GOVINDRAO PATIL CHIKHALIKAR,BJP,Nanded,5,5,0.002880756969407287
DR. HEMANG JOSHI,BJP,Vadodara,6,6,0.0028767950104524654
KRIPANATH MALLAH,BJP,Karimganj (SC),4,4,0.002871815908946401
MAHEISH GIRRI,BJP,East Delhi,5,5,0.0028426573225695116
MAHABALI SINGH,JDU,Karakat,9,10,0.0028416838460947466
N.K. PREMACHANDRAN,Regional,Kollam,15,18,0.002840392255029608
MARGANI BHARAT,YSRCP,Rajahmundry,7,7,0.002836590492199154
SUNIL DATTATRAY TATKARE,NCP,Raigad,11,15,0.002824651734003615
ANIL FIROJIYA,BJP,Ujjain (SC),5,9,0.002821672615207968
K. C. VENUGOPAL,INC,Alappuzha,10,10,0.0028131831997753633
B. S. YEDDYURAPPA,BJP,Shimoga,7,7,0.0027868926075942215
SHRI SURESH KUMAR KASHYAP,BJP,Shimla (SC),6,6,0.002775192869749583
