mp,party,constituency,degree,strength,betweenness
SHASHI THAROOR,INC,Thiruvananthapuram,8,8,0.002550333479641706
HANUMAN BENIWAL,Regional,Nagaur,4,4,0.0025347785576850758
DR. RAJESH MISHRA,BJP,Sidhi,10,10,0.0025126675734721
NIHAL CHAND CHAUHAN,BJP,Ganganagar (SC),11,17,0.0025066734951663832
ADV DEAN KURIAKOSE,INC,Idukki,3,3,0.002490651404882251
SHRI KAUSHALENDRA KUMAR,JDU,Nalanda,6,7,0.002473283318572814
PARVESH SAHIB SINGH,BJP,West Delhi,8,8,0.0024721013226126055
SHRI SATPAL BRAHAMCHARI,INC,Sonipat,5,5,0.002469342854917781
KIRIT SOMAIYA,BJP,Mumbai North East,6,6,0.002460893053139509
SANJAY SETH,BJP,Ranchi,6,7,0.002447051186221331
ADHIR RANJAN CHOWDHURY,INC,Baharampur,8,8,0.002446813345790226
RAM TAHAL CHOUDHARY,BJP,Ranchi,17,37,0.0024353919749487596
SHYAM YADAV SINGH,BSP,Jaunpur,3,3,0.0024344140204560017
SHRI ASHISH DUBEY,BJP,Jabalpur,3,3,0.002432218690125448
SHRI GYANESHWAR PATIL,BJP,Khandwa,6,12,0.0024301139351672473
SHRI EATALA RAJENDER,BJP,Malkajgiri,5,11,0.002428457416486148
PRALHAD VENKATESH JOSHI,BJP,Dharwad,9,9,0.0024178048800425093
PRATIMA MONDAL,TMC,Jaynagar (SC),5,7,0.002413643507834331
D. M. KATHIR ANAND,DMK,Vellore,6,6,0.0024127773172390866
SHRI CHAVDA VINOD LAKHAMSHI,BJP,Kachchh (SC),6,6,0.0023897618561765726
SMT. D K ARUNA,BJP,Mahbubnagar,5,12,0.002374715600972585
SRIRAM MALYADRI,TDP,Bapatla (SC),3,3,0.0023667275827020987
SUKANTA MAJUMDAR,BJP,Balurghat,13,26,0.002360390614433934
SHRI KALI CHARAN SINGH,INC,Khunti (ST),5,6,0.0023566774560316835
SHRI DINESH CHANDRA YADAV,JDU,Madhepura,5,7,0.00235631010748376
SHRI DARSHAN SINGH CHOUDHARY,BJP,Hoshangabad,4,4,0.0023544131246051045
ANANDRAO ADSUL,Shiv Sena,Amravati (SC),21,45,0.0023464004060005845
LAXMI NARAYAN YADAV,BJP,Sagar,17,32,0.002327951497292097
SANTOKH SINGH CHAUDHARY,INC,Jalandhar,3,3,0.0023166346229423498
RAJESHBHAI NARANBHAI CHUDASAMA,BJP,Junagadh,6,6,0.0023147329152783374
SHRI BAJRANG MANOHAR SONWANE,NCP,Beed,3,3,0.002309362911634699
RAM PRASAD SARMAH,SP,Basti,3,3,0.0022963439644874987
DURGA DAS UIKEY,BJP,Betul (ST),4,5,0.0022858027800398448
DR. LATA WANKHEDE,BJP,Sagar,5,7,0.0022840592835795225
SHRI K RADHAKRISHNAN,Left,Alathur (SC),3,4,0.0022816883253086373
SHRI MITESHBHAI RAMESHBHAI PATEL,BJP,Anand,3,3,0.002265289130507459
ASHOK KUMAR RAWAT,BJP,Misrikh (SC),4,4,0.0022533441574425868
TAMRADHWAJ SAHU,INC,Durg,3,3,0.0022421816311361596
DEAN KURIAKOSE,INC,Idukki,7,7,0.0022397997784048954
SHRI SELVAM G,DMK,Kancheepuram (SC),5,17,0.002232142857142857
SHRI MANICKAM TAGORE B,INC,Virudhunagar,4,11,0.002232142857142857
UNMESH BHAIYYASAHEB PATIL,BJP,Jalgaon,10,27,0.002232142857142857
DR. JAYANTA KUMAR ROY,BJP,Jalpaiguri (SC),2,2,0.002232142857142857
NUSRAT JAHAN RUHI,TMC,Basirhat,2,2,0.002232142857142857
SHRI AJAY BHATT,BJP,Nainital–Udhamsingh Nagar,2,2,0.002232142857142857
SHRI BRIJENDRA SINGH OLA,INC,Jhunjhunu,2,2,0.002232142857142857
SHRI CHHOTELAL,SP,Robertsganj (SC),2,2,0.002232142857142857
SHRI DULU MAHATO,BJP,Dhanbad,2,2,0.002232142857142857
SHRI E T MOHAMMED BASHEER,Regional,Ponnani,2,2,0.002232142857142857
SHRI K GOPINATH,INC,Krishnagiri,2,2,0.002232142857142857
SHRI KRIPANATH MALLAH,BJP,Karimganj (SC),2,2,0.002232142857142857
SHRI M K RAGHAVAN,INC,Kozhikode,2,2,0.002232142857142857
SHRI MANISH TEWARI,INC,Anandpur Sahib,2,2,0.002232142857142857
SHRI S VENKATESAN,Left,Madurai,2,2,0.002232142857142857
SMT. KANIMOZHI KARUNANIDHI,DMK,Thoothukkudi,2,2,0.002232142857142857
VIVEK NARAYAN SHEJWALKAR,BJP,Gwalior,2,2,0.002232142857142857
SHRI BAPI HALDAR,TMC,Mathurapur (SC),2,2,0.002232142857142857
HARI BABU KAMBHAMPATI,BJP,Visakhapatnam,9,9,0.0021999552070196215
JUAL ORAM,BJP,Sundargarh (ST),4,4,0.002168071948851006
RAYAPATI SAMBASIVA RAO,TDP,Narasaraopet,13,14,0.002140359004602558
HARISH DWIVEDI,BJP,Basti,9,9,0.0021386326206216198
SHRI HIBI EDEN,INC,Ernakulam,2,2,0.0021323558843346115
ANNASAHEB SHANKAR JOLLE,BJP,Chikkodi,8,9,0.0021285995813397217
SHRI KANWAR SINGH TANWAR,BJP,Amroha,6,6,0.0020978338036208026
NAYAB SINGH,BJP,Kurukshetra,6,10,0.0020963350565344533
QUEEN OJA,BJP,Gauhati,5,5,0.0020788831821284158
SANJAY(KAKA) RAMCHANDRA PATIL,BJP,Sangli,10,11,0.0020644444523468947
RAVINDRA KUMAR PANDEY,BJP,Giridih,10,13,0.002053888054686616
CHINTA ANURADHA,YSRCP,Amalapuram (SC),14,16,0.0020228848366591647
KHAN SAUMITRA,BJP,Bishnupur (SC),2,2,0.002022795138945833
RAMSINH PATALYABHAI RATHWA,BJP,Chhota Udaipur (ST),9,9,0.001971699224759794
SUSHMITA DEV,INC,Silchar,12,18,0.001959579797238487
RABINDRA KUMAR JENA,Regional,Balasore,10,10,0.0019588048746703103
SUNIL BABURAO MENDHE,BJP,Bhandara–Gondiya,4,4,0.0019202309359081101
SHRI BUNTY VIVEK SAHU,BJP,Bilaspur,5,5,0.001898770500796542
L.S. TEJASVI SURYA,BJP,Bangalore South,8,12,0.0018739862227683689
DAYAKAR PASUNOORI,Regional,Warangal (SC),8,13,0.001870754575510415
SANGEETA KUMARI SINGH DEO,BJP,Bolangir,10,20,0.001850013321537516
LAVU SRI KRISHNA DEVARAYALU,YSRCP,Narasaraopet,10,15,0.0018417823482548374
VIJAY KUMAR S.R.,BJP,Kushinagar,21,30,0.0018285430896387855
KAUSHAL KISHORE,BJP,Mohanlalganj (SC),6,9,0.0018099589107276894
BOORA NARSAIAH GOUD,Regional,Bhongir,5,5,0.0018007366901514714
SHRI CHANDAN CHAUHAN,Regional,Bijnor,2,2,0.0017726506026031128
SUKHBIR SINGH JAUNAPURIA,BJP,Tonk–Sawai Madhopur,7,7,0.0017640988989689518
SANTOSH AHLAWAT,BJP,Jhunjhunu,14,22,0.001760297261532323
SHRI ANANTA NAYAK,BJP,Keonjhar (ST),4,4,0.001752764628350735
SANJEEV KUMAR SINGARI,BJP,Muzaffarnagar,8,10,0.001744401909235458
CHANDRA SEKHAR BELLANA,YSRCP,Vizianagaram,14,17,0.0017195185478047618
G. HARI,BJP,Gaya (SC),10,10,0.0017177514273009182
MALLIKARJUN KHARGE,INC,Gulbarga (SC),5,5,0.0016713678787787533
SARMISTHA SETHI,Regional,Jajpur (SC),3,3,0.001664595842314866
PRASUN BANERJEE,TMC,Howrah,6,6,0.001663321190940267
RAMYA HARIDAS,INC,Alathur (SC),2,2,0.0016478015865729067
M. SELVARAJ,Left,Nagapattinam (SC),9,11,0.0016425291001155229
SHRI MUKESH RAJPUT,BJP,Farrukhabad,4,4,0.0016232456319843255
GODDETI MADHAVI,YSRCP,Araku (ST),11,12,0.0016133072002515049
ARJUN RAM MEGHWAL,BJP,Bikaner (SC),9,9,0.0016122816149468056
VELLALATH KOCHUKRISHNAN NAIR. SREEKANDAN,INC,Palakkad,6,6,0.0016117708005302825
ARJUNLAL MEENA,BJP,Dausa (ST),8,8,0.001607329447224887
M V V SATYANARAYANA,YSRCP,Visakhapatnam,9,10,0.001570095880705103
GAJENDRA SINGH PATEL,BJP,Khargone (ST),5,6,0.0015695778008774865
GANESAN SELVAM,DMK,Kancheepuram (SC),13,25,0.0015591731914167612
RAM KRIPAL YADAV,BJP,Pataliputra,5,5,0.0015575078430941688
KRISHNA RAJ,BJP,Shahjahanpur (SC),4,4,0.001548384093659272
PANKAJ CHOWDHARY,BJP,Maharajganj,9,9,0.001546973775985232
SUBHASH RAMRAO BHAMRE,BJP,Dhule,12,17,0.0015086139829335965
CHANDRA SEKHAR SAHU,Regional,Berhampur,12,34,0.0014894401906284452
RAKESH SINGH,BJP,Jabalpur,7,7,0.0014838457469594345
K. GOPAL,BJP,Mumbai North,7,7,0.0014635029524918402
JAYANTA KUMAR ROY,BJP,Jalpaiguri (SC),10,15,0.0014598444255356996
ANIL SHIROLE,BJP,Pune,7,8,0.001442376568383063
P.R. NATARAJAN,Left,Coimbatore,4,4,0.0014355096126757866
UMESH G. JADHAV,Shiv Sena,Buldhana,9,11,0.0014079481420730864
DARSHANA VIKRAM JARDOSH,BJP,Surat,3,3,0.0014043493206434502
PRADEEP KUMAR SINGH,BJP,Araria,5,5,0.0014027332641038674
SHRI PRATAP CHANDRA SARANGI,BJP,Balasore,6,10,0.00140072581642261
CHANDU LAL SAHU,BJP,Mahasamund,5,5,0.0013694193054119006
LAKHAN LAL SAHU,BJP,Bilaspur,7,7,0.0013616888355982499
ANOOP MISHRA,BJP,Morena,7,7,0.0013562755019410498
KAPIL MORESHWAR PATIL,BJP,Bhiwandi,8,10,0.0013522729529623842
PRADYUT BORDOLOI,INC,Nowgong,4,4,0.0013438113488405828
SHRI CHANDRA PRAKASH JOSHI,BJP,Chittorgarh,6,7,0.0013301323234245891
GEETHA VISWANATH VANGA,YSRCP,Kakinada,8,13,0.00131309568790696
SHRI SHRIRANG APPA CHANDU BARNE,Shiv Sena,Maval,9,19,0.0013068056217532726
ADALA PRABHAKARA REDDY,YSRCP,Nellore,9,11,0.0013043489756448567
RAJIV RANJAN (LALAN) SINGH,BJP,Saran,10,19,0.0012985707816768857
PARESH RAWAL,BJP,Ahmedabad East,10,12,0.0012675087348414894
RAJIV PRATAP RUDY,BJP,Saran,7,7,0.0012578301619153704
R.K. SINGH PATEL,BJP,Banda,3,3,0.001251217633380496
SHRI SELVAGANAPATHI T.M.,DMK,Salem,2,2,0.0012504320259552266
VASANTHI M.,INC,Kanniyakumari,6,6,0.0012334625843248104
A.T. (NANA) PATIL,BJP,Jalgaon,6,6,0.0012203045340738747
SULTAN AHMED,TMC,Uluberia,8,9,0.0012165297389586218
SUBRATA PATHAK,BJP,Sidhi,13,18,0.0012150808540551292
DHAL SINGH BISEN,BJP,Balaghat,5,6,0.001214819698621631
SUBHASH PATEL,BJP,Khargone (ST),4,4,0.001208287081346381
SHRI DAMODAR AGRAWAL,BJP,Raipur,7,7,0.0011980073843771172
T.R.V.S. RAMESH,BJP,Anakapalli,6,6,0.0011917513082584834
RADHESHYAM BISWAS,Regional,Karimganj (SC),4,4,0.001168525565706448
KIRTI (JHA) AZAD,BJP,Darbhanga,7,9,0.0011561432388922795
RAMESH POKHRIYAL NISHANK,BJP,Anakapalli,9,12,0.0011481238239938428
THALIKKOTTAI RAJUTHEVAR BAALU,DMK,Sriperumbudur,4,4,0.0011476266316998043
RAVINDRA KUMAR RAY,BJP,Kodarma,9,10,0.0011460039912804451
PONGULETI SRINIVASA REDDY,YSRCP,Khammam,9,9,0.0010842221353804813
SHRI T R BAALU,DMK,Sriperumbudur,2,2,0.0010696305960238258
ASHWINI KUMAR,BJP,Buxar,8,8,0.0010606188604406466
RAM KUMAR SHARMA KUSHWAHA,Regional,Purnia,5,6,0.001054422018337587
DEVUSINH JESINGBHAI CHAUHAN,BJP,Kheda,8,9,0.0010499720967159564
RAJMOHAN UNNITHAN,INC,Kasaragod,5,5,0.0010443477421934416
OM PRAKASH YADAV,BJP,Siwan,8,9,0.0010397710013810755
SHRI SANJAY UTTAMRAO DESHMUKH,Shiv Sena,Yavatmal–Washim,6,7,0.0010270800085242283
VIJAYAKUMAR (ALIAS) VIJAY VASANTH,INC,Kanniyakumari,6,8,0.0010269207662497218
PREM DAS RAI,Regional,Sikkim,7,8,0.0010096457453340102
DR. T. SUMATHY (A) THAMIZHACHI THANGAPANDIAN,DMK,Chennai South,5,5,9.913652449600038e-4
HARI MANJHI,BJP,Gaya (SC),6,6,9.780169615037659e-4
RAGHAV LAKHANPAL,BJP,Saharanpur,6,6,9.735760675458089e-4
T.G. VENKATESH BABU,Regional,Peddapalli (SC),6,6,9.697991413839107e-4
SHRI ANUP SANJAY DHOTRE,Regional,Akola,3,3,9.548353792168637e-4
(SMT.) RATNA DE(NAG),TMC,Hooghly,9,15,9.472359368809501e-4
SUJAY RADHAKRISHNA VIKHEPATIL,BJP,Ahmednagar,14,34,9.359211907405479e-4
C. N. JAYADEVAN,Left,Thrissur,6,6,9.246143221062972e-4
MOHANBHAI KALYANJI KUNDARIYA,BJP,Rajkot,6,9,9.220398264090347e-4
MEKAPATI RAJAMOHAN REDDY,YSRCP,Nellore,6,6,9.093054811359017e-4
KAMAL NATH,INC,Chhindwara,10,18,9.093030290667388e-4
APARUPA PODDAR,TMC,Arambagh (SC),5,5,8.995811992989573e-4
NAGARAJAN P.,Left,Coimbatore,7,7,8.92614194936154e-4
JAY PRAKASH NARAYAN YADAV,RJD,Banka,6,6,8.894928357462639e-4
GIRIDHARI YADAV,JDU,Banka,7,12,8.883361407739693e-4
DEVENDRA (ALIAS) BHOLE SINGH SINGH,BJP,Akbarpur,7,7,8.777097940860728e-4
DEVAJIBHAI GOVINDBHAI FATEPARA,BJP,Surendranagar,8,8,8.769939887357116e-4
SHRI DEVUSINH CHAUHAN,BJP,Kheda,4,4,8.695818915264978e-4
DINESH TRIVEDI,TMC,Barrackpore,7,7,8.668044157297987e-4
NAMA NAGESWARA RAO,Regional,Khammam,5,5,8.653916844047349e-4
ANURAG SHARMA,BJP,Jhansi,9,11,8.653461124475203e-4
SATYA PAL SINGH,BJP,Baghpat,10,17,8.581211851625473e-4
KANWAR SINGH TANWAR,BJP,Amroha,7,7,8.549890471274419e-4
RATTAN LAL KATARIA,BJP,Ambala (SC),6,6,8.513214922519837e-4
RAJESH KUMAR DIWAKAR,BJP,Hathras (SC),6,6,8.445321452560627e-4
SHRI GOVIND MAKTHAPPA KARJOL,BJP,Chitradurga (SC),2,2,8.415760868000495e-4
SHRI CAPTAIN BRIJESH CHOWTA,BJP,Dakshina Kannada,3,3,8.380509691407667e-4
SHRI ARUN BHARTI,Regional,Jamui (SC),3,5,8.378416237121134e-4
KANI K. NAVAS,Regional,Ramanathapuram,5,9,8.345979079691148e-4
SHRI MUKESHKUMAR CHANDRAKAANT DALAL,BJP,Surat,6,7,8.289237202224132e-4
RAMAPATI RAM TRIPATHI,BJP,Deoria,8,9,8.152243293729604e-4
KUNWAR PUSHPENDRA SINGH CHANDEL,BJP,Hamirpur,8,9,0.00081395658637195415
MOHANBHAI KALYANJIBHAI KUNDARIYA,BJP,Rajkot,4,4,7.965398779486707e-4
RAJU ALIAS DEVAPPA ANNA SHETTI,Regional,Hatkanangle,6,6,7.868497946334772e-4
P. KARUNAKARAN,Left,Kasaragod,6,6,7.814791880465634e-4
VEENA DEVI,Regional,Munger,6,7,7.789847098376922e-4
SHRI RODMAL NAGAR,BJP,Rajgarh,4,5,7.749346124745033e-4
NEELAM SONKER,BJP,Lalganj (SC),9,9,7.721117457957652e-4
C.N. ANNADURAI,DMK,Tiruvannamalai,16,34,7.71999148646847e-4
S. MUNISWAMY,BJP,Kolar (SC),6,6,7.636362334733544e-4
SHRI MAHESH KASHYAP,BJP,Bastar (ST),6,6,7.613696938264956e-4
SUKHBIR SINGH JAUNPURIA,BJP,Tonk–Sawai Madhopur,7,8,7.567960698930867e-4
ANIRUDHAN SAMPATH,Left,Attingal,7,7,7.52479401701905e-4
HARINDER SINGH KHALSA,AAP,Fatehgarh Sahib (SC),2,2,7.521203127890613e-4
DR. KIRSAN NAMDEO,INC,Gadchiroli–Chimur (ST),3,3,7.418845481245718e-4
SATYADEV PACHAURI,BJP,Kanpur,6,7,7.370147641884991e-4
P. C. MOHAN,BJP,Bangalore Central,5,5,7.330674645756424e-4
SANDHYA RAY,BJP,Bhind (SC),5,5,7.300284660249469e-4
S. JOTHIMANI,INC,Karur,4,4,7.177500870186421e-4
RAJESH VERMA,BJP,Sitapur,6,6,7.167752714093191e-4
RANJEET RANJAN,INC,Supaul,6,8,7.027963998653707e-4
JANARDAN MISHRA,BJP,Rewa,6,12,6.950848690639006e-4
SAKSHI SWAMI MAHARAJ,BJP,Unnao,5,5,6.931909306034587e-4
DR. VINOD KUMAR BIND,BJP,Bhadohi,4,8,6.917977037997783e-4
SHRI VISHNU DAYAL RAM,BJP,Palamau (SC),3,3,6.910855356580101e-4
HUKUM SINGH,BJP,Kairana,5,5,6.89581214942809e-4
THOKCHOM MEINYA,INC,Inner Manipur,4,4,6.848642688855853e-4
CHIRAG PASWAN,Regional,Jamui (SC),5,5,6.807134035727875e-4
CHANDRAKANT RAGHUNATH PATIL,Shiv Sena,Aurangabad,6,6,6.731411175484617e-4
FAGGAN SINGH KULASTE,BJP,Mandla (ST),6,6,6.637948215120071e-4
IMTIAZ JALEEL SYED,Regional,Aurangabad,6,22,6.634309906549335e-4
PRATAP CHANDRA SARANGI,BJP,Balasore,7,7,6.600923200970265e-4
A.P. JITHENDER REDDY,Regional,Mahbubnagar,5,5,6.597629829826945e-4
GADDAM RANJITH REDDY,INC,Peddapalle (SC),8,17,6.589225791741356e-4
SANGHAMITRA MAURYA,BJP,Badaun,5,5,6.532345807265419e-4
BODH SINGH BHAGAT,BJP,Balaghat,4,5,6.517515451510476e-4
KALABEN MOHANBHAI DELKAR,BJP,Dadra and Nagar Haveli (ST),8,15,6.509611396646402e-4
SHRI OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena,Osmanabad,7,14,6.423909120855548e-4
SHRI ANURAG SINGH THAKUR,BJP,Hamirpur,3,3,6.36581399405941e-4
ARVIND KUMAR SHARMA,BJP,Rohtak,4,4,6.363582410908673e-4
SHRI DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,Hatkanangle,3,9,6.320097126536665e-4
DEVJI MANSINGRAM PATEL,BJP,Jalore,6,7,6.226212532953942e-4
B.N. CHANDRAPPA,INC,Chitradurga (SC),5,5,6.225869169801471e-4
RAMCHARAN BOHARA,BJP,Jaipur,6,6,6.189122514410516e-4
RITA TARAI,Regional,Jajpur (SC),6,6,6.165314513585258e-4
SANGAMLAL KADEDIN GUPTA,BJP,Mandsour,8,11,6.163059761147836e-4
JYOTSNA CHARANDAS MAHANT,INC,Korba,2,2,6.089749641176692e-4
MANJULATA MANDAL,Regional,Bhadrak (SC),8,17,6.057880488140423e-4
RAJBAHADUR SINGH,BJP,Sagar,6,6,6.045833491402552e-4
RANJANBEN DHANANJAY BHATT,BJP,Vadodara,2,2,5.999597530722016e-4
BALUBHAU (ALIAS SURESH NARAYAN) DHANORKAR,INC,Chandrapur,6,10,5.963877247337e-4
VIJAY KUMAR DUBEY,BJP,Kushinagar,7,11,5.76607318208512e-4
DIYA KUMARI,BJP,Rajsamand,4,4,5.765507399145989e-4
CHINTAMAN NAVSHA WANAGA,BJP,Palghar (ST),4,4,5.697946973957627e-4
ABHIJIT MUKHERJEE,INC,Jangipur,5,5,5.677603242064337e-4
T. RADHAKRISHNAN,Regional,Puducherry,17,30,5.608631689468318e-4
HARI OM PANDEY,BJP,Ambedkar Nagar,10,16,5.607894826164688e-4
DINESH CHANDRA YADAV,JDU,Madhepura,8,11,5.441774963154679e-4
MADDILA GURUMOORTHY,YSRCP,Tirupati (SC),6,6,5.43632072128214e-4
SHRI PARSHOTTAMBHAI RUPALA,BJP,Rajkot,4,4,5.425321781141342e-4
UTTAM KUMAR NALAMADA REDDY,INC,Nalgonda,4,4,5.425188885987194e-4
NITYANAND RAI,BJP,Ujiarpur,5,5,5.340325336571494e-4
A. CHELLAKUMAR,INC,Krishnagiri,7,9,5.294904845929774e-4
RAMCHARAN BOHRA,BJP,Jaipur,5,5,5.292789926881274e-4
DHARMENDRA KUMAR KASHYAP,BJP,Aonla,4,4,5.290459757847697e-4
PONNUSAMY VENUGOPAL,INC,Alappuzha,6,6,5.067659688540946e-4
GAJENDRA SINGH SHEKHAWAT,BJP,Jodhpur,5,5,5.018168561623931e-4
ABDUL MAJEED ARIFF,Left,Alappuzha,5,5,4.972043085783339e-4
SHRI RAVINDRA DATTARAM WAIKAR,Shiv Sena,Mumbai North West,9,21,4.918818462064669e-4
DALPAT SINGH PARASTE,BJP,Shahdol (ST),6,6,4.838970584727599e-4
KONDA VISHWESHWAR REDDY,Regional,Chevella,5,5,4.8199308329254686e-4
ACHYUTANANDA SAMANTA,Regional,Kandhamal,2,2,4.807643748315372e-4
SAMBHAJIRAO MANE DHAIRYASHEEL,Shiv Sena,Hatkanangle,15,29,4.803611090152754e-4
CHUNNI LAL SAHU,BJP,Mahasamund,3,3,4.749244327843265e-4
BRIJENDRA SINGH,BJP,Hisar,2,2,4.731707861016508e-4
KUMBAKUDI SUDHAKARAN,INC,Kannur,5,6,4.7114738549113125e-4
CHHEDI PASWAN,BJP,Sasaram (SC),5,5,4.622350075037197e-4
SAPTAGIRI SANKAR ULAKA,INC,Koraput (ST),3,3,4.5922096272413407e-4
RAJA AMARESHWARA NAIK,BJP,Raichur (ST),5,5,4.5877469410610946e-4
VISHNU DUTT SHARMA,BJP,Raigarh (ST),4,5,4.5004196329118416e-4
VIJAY KUMAR,BJP,Kushinagar,4,4,4.490411584014858e-4
GOWDAR MALLIKARJUNAPPA SIDDESHWARA,BJP,Davanagere,5,5,4.4394157387410546e-4
RAMESH CHANDRA MAJHI,Regional,Nabarangpur (ST),4,4,4.404753154558366e-4
KOMATI REDDY VENKAT REDDY,TDP,Ongole,7,15,4.363765120418135e-4
T.N. PRATHAPAN,INC,Thrissur,3,3,4.327846808647886e-4
BEESETTI VENKATA SATYAVATHI,YSRCP,Anakapalli,8,8,4.299807485420032e-4
MANSHANKAR NINAMA,BJP,Banswara (ST),8,14,4.2493236196015287e-4
KANIMOZHI KARUNANIDHI,DMK,Thoothukkudi,4,4,4.2426013230051796e-4
CHINTAMANI MALVIYA,BJP,Ujjain (SC),5,6,4.2165912834787905e-4
K. SHANMUGA SUNDARAM,DMK,Pollachi,4,6,4.18300246578135e-4
ANURAG SINGH THAKUR,BJP,Hamirpur,5,5,4.154172025063664e-4
SUNIL KUMAR PINTU,JDU,Sitamarhi,6,9,4.1460848378997527e-4
GOPAL JEE THAKUR,BJP,Darbhanga,3,3,4.0890883917467613e-4
MAHENDRA SINGH SOLANKY,BJP,Surendranagar,4,4,4.0514542826172967e-4
KISHAN KAPOOR,BJP,Kangra,2,2,4.0292267693671025e-4
JOSE K. MANI,Regional,Kottayam,4,4,4.0283278749355755e-4
ADV. ADOOR PRAKASH,INC,Attingal,2,2,3.868807602347106e-4
SHRI TEJASVI SURYA,BJP,Bangalore South,3,3,3.844268628474036e-4
SHIVKUMAR CHANABASAPPA UDASI,BJP,Haveri,5,5,3.8223360038291797e-4
KONAKALLA NARAYANA RAO,TDP,Machilipatnam,6,7,3.7939989334449803e-4
HEMAMALINI,BJP,Mathura,4,4,3.7548579846713497e-4
DHARAMBIR SINGH,BJP,Bhiwani–Mahendragarh,3,3,3.666381621873817e-4
DURGA PRASAD RAO BALLI,YSRCP,Tirupati (SC),4,4,3.6360376512839163e-4
D. RAVIKUMAR,DMK,Viluppuram (SC),3,3,3.633906616946638e-4
AMAR SINGH,INC,Fatehgarh Sahib (SC),4,5,3.631233041315411e-4
PARVATAGOUDA CHANDANAGOUDA GADDIGOUDAR,BJP,Bagalkot,3,3,3.5744166949015554e-4
M. I. SHANAVAS,INC,Wayanad,5,6,3.5560755771519334e-4
AMOL RAMSING KOLHE,NCP,Shirur,9,14,3.54368180902808e-4
DEVENDRAPPA Y,BJP,Bellary (ST),3,3,3.481187717796669e-4
SHIROMANI RAM,SP,Shravasti,3,3,3.422497245908182e-4
ANANT KUMAR DATTATREYA HEGDE,BJP,Uttara Kannada,4,4,3.335319870009926e-4
GEETA KORA,BJP,Singhbhum (ST),8,10,3.297877815530157e-4
UPENDRA SINGH RAWAT,BJP,Barabanki (SC),4,7,3.250908922238896e-4
ANSHUL VERMA,BJP,Hardoi (SC),3,3,3.240299998595115e-4
GIRISH BHALCHANDRA BAPAT,BJP,Pune,9,21,3.2023809648077224e-4
THOMAS CHAZHIKADAN,Regional,Kottayam,3,3,3.180287159401419e-4
"TEJPRATAP SINGH,YADAV",SP,Mainpuri,7,11,3.061573379068871e-4
RAJKUMAR CHAHAR,BJP,Fatehpur Sikri,2,2,3.043003594905935e-4
ANNPURNA DEVI,BJP,Koderma,5,7,2.9372049686794195e-4
SAKUNTALA LAGURI,Regional,Keonjhar (ST),5,7,2.767286051498235e-4
JANAK RAM,BJP,Gopalganj (SC),4,4,2.7255463276780435e-4
R.K. BHARATHI MOHAN,BJP,Rajkot,3,3,2.7012162097679e-4
RAOSAHEB PATIL DANVE,BJP,Jalna,4,4,2.6314324353451707e-4
JASBIR SINGH GILL,INC,Khadoor Sahib,2,2,2.5906212501106726e-4
SUKENDER REDDY GUTHA,INC,Nalgonda,5,5,2.578977532848405e-4
SHRI SHYAMKUMAR DAULAT BARVE,INC,Ramtek (SC),4,4,2.5621882114185656e-4
MAUSAM NOOR,INC,Maldaha Uttar,4,4,2.534424973682844e-4
V. PANNEER SELVAM,DMK,Kancheepuram (SC),3,3,2.498360243643037e-4
HIBI EDEN,INC,Ernakulam,3,3,2.4646560859465543e-4
MURALI MOHAN MAGANTI,TDP,Rajahmundry,3,3,2.4373902104544228e-4
SHRI GIRIDHARI YADAV,JDU,Banka,2,2,2.4114046142995562e-4
DILIP KUMAR MANSUKHLAL GANDHI,BJP,Anand,4,4,2.3724529266914982e-4
MANEKA SANJAY GANDHI,BJP,Pilibhit,3,3,2.2913997236086693e-4
SHER SINGH GHUBAYA,Regional,Ferozepur,4,5,2.2888419256262023e-4
RITESH PANDEY,BJP,Ambedkar Nagar,3,3,2.2538193506967512e-4
JASKAUR MEENA,BJP,Dausa (ST),5,10,2.2333491912298708e-4
VIKRAM USENDI,BJP,Kanker (ST),4,5,2.1555715934200168e-4
DR. SHIVAJI BANDAPPA KALGE,INC,Latur (SC),5,8,2.1404041555677622e-4
SHRI AVIMANYU SETHI,BJP,Bhadrak (SC),2,2,2.1342973302976114e-4
BRIJBHUSHAN SHARAN SINGH,BJP,Kaiserganj,3,3,2.1171604911319775e-4
SHRI NILESH DNYANDEV LANKE,NCP,Ahmednagar,5,10,2.086863959619347e-4
MANICKAM TAGORE B,INC,Virudhunagar,4,5,2.0459912357002132e-4
ALOK SANJAR,BJP,Bhopal,3,3,2.0377154246746504e-4
SHRI DUSHYANT SINGH,BJP,Jhalawar–Baran,2,2,1.8966217951154105e-4
MAHESH SAHOO,Regional,Dhenkanal,2,2,1.8869622878585013e-4
PARBHUBHAI NAGARBHAI VASAVA,BJP,Bardoli (ST),7,12,1.8368728862240558e-4
C.R. CHAUDHARY,BJP,Nagaur,3,3,1.8160174602640933e-4
DR. MANNA LAL RAWAT,BJP,Udaipur (ST),4,4,1.7754456129783332e-4
TATHAGATA SATPATHY,Regional,Dhenkanal,3,3,1.7661524892724514e-4
RAMA KISHORE SINGH,Regional,Vaishali,3,3,1.7559432336529293e-4
