id,lok_no,session_no,party_family,ministry,sent_neg,sent_pos,sent_neu,sent_compound,sent_label
LS16-S17-STARRED-53,16,17,BJP,EXTERNAL AFFAIRS,0.0,0.052,0.948,0.4939,positive
LS16-S17-STARRED-51,16,17,BJP,RAILWAYS,0.13166666666666668,0.013,0.8553333333333333,-0.06553333333333333,adversarial
LS16-S17-STARRED-50,16,17,BJP,ATOMIC ENERGY,0.12333333333333334,0.05666666666666667,0.82,0.15833333333333333,positive
LS16-S17-STARRED-49,16,17,Regional,ELECTRONICS AND INFORMATION TECHNOLOGY,0.0,0.058,0.942,0.6705,positive
LS16-S17-STARRED-48,16,17,BJP,COAL,0.0,0.054,0.946,0.6597,positive
LS16-S17-STARRED-46,16,17,JDU,DEFENCE,0.0,0.102,0.898,0.7672,positive
LS16-S17-STARRED-44,16,17,BJP,EARTH SCIENCES,0.2115,0.0195,0.7689999999999999,0.07220000000000001,positive
LS16-S17-STARRED-42,16,17,SP,COMMUNICATIONS,0.052,0.019,0.929,-0.4559,adversarial
LS16-S17-STARRED-41,16,17,Regional,MINORITY AFFAIRS,0.0,0.0115,0.9884999999999999,0.064,positive
LS16-S17-STARRED-39,16,17,BJP,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,0.025,0.062,0.913,0.5423,positive
LS16-S17-STARRED-38,16,17,BJP,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",0.0,0.056,0.944,0.5994,positive
LS16-S17-STARRED-36,16,17,INC,HOME AFFAIRS,0.0,0.079,0.921,0.4939,positive
LS16-S17-STARRED-35,16,17,BJP,AGRICULTURE AND FARMERS WELFARE,0.0,0.115,0.885,0.7506,positive
LS16-S17-STARRED-34,16,17,BJP,FOOD PROCESSING INDUSTRIES,0.0,0.088,0.912,0.7964,positive
LS16-S17-STARRED-33,16,17,Regional,HOME AFFAIRS,0.028,0.087,0.885,0.5106,positive
LS16-S17-STARRED-32,16,17,BJP,CHEMICALS AND FERTILIZERS,0.06459999999999999,0.039,0.8964000000000001,-0.20548000000000002,adversarial
LS16-S17-STARRED-31,16,17,BJP,CHEMICALS AND FERTILIZERS,0.1075,0.04,0.852,-0.02560000000000001,neutral
LS16-S17-STARRED-28,16,17,INC,AGRICULTURE AND FARMERS WELFARE,0.011,0.0485,0.94,0.46,positive
LS16-S17-STARRED-27,16,17,Shiv Sena,HOME AFFAIRS,0.0,0.095,0.905,0.7269,positive
LS16-S17-STARRED-26,16,17,BJP,AGRICULTURE AND FARMERS WELFARE,0.0,0.05,0.95,0.6124,positive
LS16-S17-STARRED-24,16,17,BJP,AGRICULTURE AND FARMERS WELFARE,0.061,0.031,0.908,-0.021600000000000008,neutral
LS16-S17-STARRED-23,16,17,BJP,HOME AFFAIRS,0.039,0.119,0.842,0.6808,positive
LS16-S17-STARRED-22,16,17,BJP,HOME AFFAIRS,0.068,0.086,0.845,-0.0458,neutral
LS16-S17-STARRED-21,16,17,INC,AGRICULTURE AND FARMERS WELFARE,0.040249999999999994,0.01325,0.9465,-0.019474999999999992,neutral
